distance_from_reef,mass_lost,row_ID
16.5,69.2,35
16.5,67.2,35
16.5,67.6,35
16.5,69.8,35
1.0,52.6,35
1.0,52.2,35
1.0,55.5,35
1.0,52.3,35
1.0,57.0,35
8.5,64.6,0
8.5,65.3,0
8.5,66.8,0
8.5,66.1,0
8.5,64.6,0
16.5,65.5,15
16.5,62.8,15
16.5,64.8,15
16.5,64.6,15
16.5,62.9,15
8.5,66.5,15
8.5,67.0,15
8.5,65.8,15
8.5,69.5,15
8.5,71.3,15
1.0,63.1,0
1.0,62.6,0
1.0,66.5,0
1.0,68.8,0
1.0,60.9,0
8.5,65.5,25
8.5,71.1,25
8.5,71.7,25
8.5,58.5,25
8.5,67.5,25
1.0,65.8,45
1.0,67.2,45
1.0,67.1,45
1.0,70.9,45
1.0,65.2,45
16.5,57.4,45
16.5,58.5,45
16.5,53.8,45
16.5,58.8,45
16.5,54.3,45
16.5,65.1,0
16.5,66.7,0
16.5,75.4,0
16.5,67.0,0
16.5,62.0,0
8.5,62.7,35
8.5,67.9,35
8.5,63.5,35
8.5,61.9,35
8.5,62.2,35
8.5,65.0,45
8.5,65.0,45
8.5,64.3,45
8.5,63.6,45
8.5,69.1,45
1.0,58.7,25
1.0,58.7,25
1.0,60.6,25
1.0,56.6,25
1.0,-2.0,25
16.5,78.3,25
16.5,64.7,25
16.5,67.4,25
16.5,71.6,25
16.5,71.1,25
16.5,67.8,55
16.5,70.6,55
16.5,63.8,55
16.5,68.1,55
16.5,64.2,55
1.0,59.6,55
1.0,52.0,55
1.0,64.6,55
1.0,63.3,55
1.0,60.5,55
8.5,64.2,55
8.5,63.5,55
8.5,63.3,55
8.5,67.7,55
8.5,65.6,55
1.0,61.3,15
1.0,57.3,15
1.0,58.0,15
1.0,63.5,15
1.0,59.5,15
16.5,69.4,35
