year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,1,IN,27,5,Bot,114.70,50.14,29.5,20.8,17.0,21.8,28.000,28.288,16.000,16.647,43.5824,23.2156,33.2020,sand,43.5824
1,1,OUT,0,1,Top,37.00,37.06,19.0,21.2,9.5,21.9,16.000,16.432,5.500,6.183,55.6621,27.6530,16.6849,sand,55.6621
1,1,OUT,0,2,Top,43.50,43.61,21.0,21.3,10.0,21.9,18.000,18.468,6.000,6.683,57.6528,27.0217,15.3255,sand,57.6528
1,1,OUT,0,3,Top,30.80,30.84,16.5,21.3,9.5,22.0,13.500,13.968,5.500,6.219,54.7094,25.1239,20.1667,sand,54.7094
1,1,OUT,0,4,Top,48.90,48.94,29.5,21.2,13.5,21.9,26.500,26.932,9.500,10.183,44.9701,34.2219,20.8080,sand,44.9701
1,1,OUT,0,5,Top,31.30,31.41,19.5,21.0,9.5,21.8,16.500,16.860,5.500,6.147,46.3238,34.1046,19.5717,sand,46.3238
1,1,OUT,0,1,Bot,104.10,50.10,26.5,21.0,14.5,21.8,23.500,23.860,10.500,11.147,52.3758,25.3737,22.2504,sand,52.3758
1,1,OUT,0,2,Bot,116.00,50.06,29.0,21.0,15.0,21.8,26.000,26.360,11.000,11.647,47.3438,29.3892,23.2670,sand,47.3438
1,1,OUT,0,3,Bot,119.30,50.20,26.0,21.0,14.5,21.8,23.000,23.360,10.500,11.147,53.4667,24.3272,22.2061,sand,53.4667
1,1,OUT,0,4,Bot,103.00,50.05,28.5,21.0,15.5,21.9,25.500,25.860,11.500,12.183,48.3323,27.3252,24.3425,sand,48.3323
1,1,OUT,0,5,Bot,124.50,50.10,29.0,21.0,15.0,21.8,26.000,26.360,11.000,11.647,47.3858,29.3657,23.2484,sand,47.3858
1,1,OUT,12,1,Top,43.30,43.38,23.0,21.0,11.0,21.9,20.000,20.360,7.000,7.683,53.0666,29.2215,17.7119,sand,53.0666
1,1,OUT,12,2,Top,39.60,39.68,18.5,21.0,10.0,21.8,15.500,15.860,6.000,6.647,60.0310,23.2163,16.7527,sand,60.0310
1,1,OUT,12,3,Top,41.80,41.76,21.5,21.1,11.0,21.9,18.500,18.896,7.000,7.683,54.7517,26.8492,18.3990,sand,54.7517
1,1,OUT,12,4,Top,41.20,41.29,20.0,21.0,10.0,21.8,17.000,17.360,6.000,6.647,57.9566,25.9439,16.0994,sand,57.9566
1,1,OUT,12,5,Top,41.60,41.72,22.0,21.1,11.0,21.9,19.000,19.396,7.000,7.683,53.5099,28.0734,18.4167,sand,53.5099
1,1,OUT,12,1,Bot,123.50,50.02,22.0,21.1,12.0,21.9,19.000,19.396,8.000,8.683,61.2242,21.4159,17.3599,sand,61.2242
1,1,OUT,12,2,Bot,133.80,50.20,23.5,21.1,12.0,21.8,20.500,20.896,8.000,8.647,58.3752,24.3988,17.2260,sand,58.3752
1,1,OUT,12,3,Bot,139.10,50.02,26.0,21.0,14.5,21.8,23.000,23.360,10.500,11.147,53.2993,24.4147,22.2860,sand,53.2993
1,1,OUT,12,4,Bot,138.10,50.21,24.5,21.2,13.0,21.8,21.500,21.932,9.000,9.647,56.3202,24.4656,19.2142,sand,56.3202
1,1,OUT,12,5,Bot,124.70,50.10,29.0,21.2,15.5,22.0,26.000,26.432,11.500,12.219,47.2422,28.3677,24.3900,sand,47.2422
1,1,OUT,19,1,Top,37.50,37.51,25.5,19.3,13.5,20.6,23.000,22.748,11.500,11.716,39.3543,29.4119,31.2339,sand,39.3543
1,1,OUT,19,2,Top,44.60,44.57,26.0,19.4,13.5,20.6,23.500,23.284,11.500,11.716,47.7582,25.9555,26.2863,sand,47.7582
1,1,OUT,19,3,Top,42.00,41.99,23.0,19.5,13.0,20.6,20.500,20.320,11.000,11.216,51.6072,21.6821,26.7107,sand,51.6072
1,1,OUT,19,4,Top,49.00,49.03,26.5,18.9,15.0,20.4,24.000,23.604,13.000,13.144,51.8574,21.3348,26.8078,sand,51.8574
1,1,OUT,19,5,Top,45.90,45.86,24.5,18.8,14.0,20.4,22.000,21.568,12.000,12.144,52.9691,20.5505,26.4803,sand,52.9691
1,1,OUT,19,1,Bot,133.10,50.59,30.5,18.8,17.0,20.5,28.000,27.568,15.000,15.180,45.5063,24.4881,30.0056,sand,45.5063
1,1,OUT,19,2,Bot,103.10,50.35,33.5,18.8,19.5,20.5,31.000,30.568,17.500,17.680,39.2883,25.5978,35.1139,sand,39.2883
