reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,OUT,0,3,Bot,10.5870,51.9823,37.4307,117.81,81.90,8.67,42.57,30.66,2.8677,0.1031,3.59521567806953
1,OUT,0,4,Bot,8.5787,50.9671,40.4542,117.81,79.30,6.80,40.42,32.08,2.9279,0.1076,3.67498889989412
1,OUT,0,5,Bot,6.9793,51.7764,41.2444,117.81,92.00,6.42,47.63,37.94,2.8307,0.104,3.67400289680998
1,OUT,12,1,Top,0.0000,51.3409,48.6591,39.26,24.07,0.00,12.36,11.71,2.926,0.1183,4.04306220095694
1,OUT,12,2,Top,0.0000,53.3888,46.6112,39.26,28.50,0.00,15.22,13.28,2.7926,0.0962,3.44481844875743
1,OUT,12,3,Top,0.0000,56.2013,43.7987,39.26,24.54,0.00,13.79,10.75,2.8196,0.0977,3.46503050078025
1,OUT,12,4,Top,0.0000,47.6702,52.3298,39.26,24.43,0.00,11.65,12.78,2.8868,0.1047,3.62685326312872
1,OUT,12,5,Top,0.0000,45.9955,54.0045,39.26,22.68,0.00,10.43,12.25,2.9447,0.1014,3.44347471728869
1,OUT,12,1,Bot,7.3087,53.1459,39.5454,117.81,79.80,5.83,42.41,31.56,2.8834,0.1132,3.92592078795866
1,OUT,12,2,Bot,4.5722,54.0605,41.3673,117.81,80.40,3.68,43.46,33.26,2.9086,0.1007,3.46214673726191
1,OUT,12,3,Bot,4.2441,54.2870,41.4688,117.81,85.00,3.61,46.14,35.25,2.8724,0.1035,3.60325859908091
1,OUT,12,4,Bot,6.7417,51.0908,42.1675,117.81,92.10,6.21,47.05,38.84,2.865,0.1008,3.51832460732984
1,OUT,12,5,Bot,5.4717,53.1914,41.3369,117.81,90.70,4.96,48.24,37.49,2.8656,0.1084,3.78280290340592
1,OUT,19,1,Top,0.0000,50.8410,49.1590,39.26,19.53,0.00,9.93,9.60,2.817,0.1021,3.62442314518992
1,OUT,19,2,Top,0.0000,54.1500,45.8500,39.26,22.03,0.00,11.93,10.10,2.8292,0.0923,3.26240633394599
1,OUT,19,3,Top,0.0000,48.7532,51.2468,39.26,19.71,0.00,9.61,10.10,2.8589,0.1005,3.51533806708874
1,OUT,19,4,Top,0.0000,54.3179,45.6821,39.26,24.30,0.00,13.20,11.10,2.8743,0.0954,3.31906899071078
1,OUT,19,5,Top,0.0000,54.8807,45.1193,39.26,26.66,0.00,14.63,12.03,2.8683,0.097,3.38179409406269
1,OUT,19,1,Bot,3.8024,56.2279,39.9697,117.81,81.80,3.11,45.99,32.70,2.9417,0.1019,3.46398341095285
1,OUT,19,2,Bot,10.3738,55.9924,33.6338,117.81,91.40,9.48,51.18,30.74,2.9368,0.0955,3.25183873603923
1,OUT,19,3,Bot,9.3713,53.5510,37.0777,117.81,86.20,8.08,46.16,31.96,2.9124,0.0939,3.22414503502266
1,OUT,19,4,Bot,5.1621,54.2247,40.6132,117.81,84.60,4.37,45.87,34.36,2.897,0.0921,3.17915084570245
1,OUT,19,5,Bot,12.1503,52.5571,35.2926,117.81,83.60,10.16,43.94,29.50,2.8514,0.0935,3.27909097285544
