year,reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,1,OUT,0,1,Top,55.6621,27.6530,16.6849,39.26,37.00,20.5950,10.2316,6.1734,2.9586,0.0595,2.0111
1,1,OUT,0,2,Top,57.6528,27.0217,15.3255,39.26,43.50,25.0790,11.7545,6.6666,2.9595,0.0570,1.9260
1,1,OUT,0,3,Top,54.7094,25.1239,20.1667,39.26,30.80,16.8505,7.7382,6.2113,2.9685,0.0614,2.0684
1,1,OUT,0,4,Top,44.9701,34.2219,20.8080,39.26,48.90,21.9904,16.7345,10.1751,2.9710,0.0425,1.4305
1,1,OUT,0,5,Top,46.3238,34.1046,19.5717,39.26,31.30,14.4993,10.6747,6.1259,3.0052,0.0519,1.7270
1,1,OUT,0,1,Bot,52.3758,25.3737,22.2504,117.81,104.10,54.5233,26.4141,23.1627,2.9652,0.0590,1.9897
1,1,OUT,0,2,Bot,47.3438,29.3892,23.2670,117.81,116.00,54.9188,34.0915,26.9897,3.0121,0.0771,2.5597
1,1,OUT,0,3,Bot,53.4667,24.3272,22.2061,117.81,119.30,63.7858,29.0223,26.4919,2.9552,0.0754,2.5514
1,1,OUT,0,4,Bot,48.3323,27.3252,24.3425,117.81,103.00,49.7822,28.1450,25.0728,2.9839,0.0697,2.3359
1,1,OUT,0,5,Bot,47.3858,29.3657,23.2484,117.81,124.50,58.9954,36.5604,28.9443,1.9778,0.0492,2.4876
1,1,OUT,12,1,Top,53.0666,29.2215,17.7119,39.26,43.30,22.9778,12.6529,7.6693,2.9636,0.0580,1.9571
1,1,OUT,12,2,Top,60.0310,23.2163,16.7527,39.26,39.60,23.7723,9.1937,6.6341,2.9633,0.0705,2.3791
1,1,OUT,12,3,Top,54.7517,26.8492,18.3990,39.26,41.80,22.8862,11.2230,7.6908,2.9743,0.0536,1.8021
1,1,OUT,12,4,Top,57.9566,25.9439,16.0994,39.26,41.20,23.8781,10.6889,6.6330,2.9513,0.0739,2.5040
1,1,OUT,12,5,Top,53.5099,28.0734,18.4167,39.26,41.60,22.2601,11.6786,7.6613,2.9622,0.0578,1.9513
1,1,OUT,12,1,Bot,61.2242,21.4159,17.3599,117.81,123.50,75.6119,26.4487,21.4395,2.9678,0.0628,2.1160
1,1,OUT,12,2,Bot,58.3752,24.3988,17.2260,117.81,133.80,78.1060,32.6456,23.0484,2.9658,0.0853,2.8761
1,1,OUT,12,3,Bot,53.2993,24.4147,22.2860,117.81,139.10,74.1393,33.9609,30.9998,2.9954,0.0562,1.8762
