distance_from_reef,mass_lost,row_ID
8.5,72.3,65
8.5,69.5,65
8.5,62.9,65
1.5,65.6,65
1.5,81.9,65
1.5,73.3,65
16.5,62.0,65
16.5,65.1,65
16.5,64.1,65
8.5,54.1,10
8.5,57.0,10
8.5,57.0,10
8.5,58.2,10
8.5,64.8,40
8.5,53.9,40
8.5,57.1,40
8.5,62.0,40
1.5,55.0,25
1.5,59.6,25
1.5,51.5,25
1.5,50.4,25
16.5,60.9,40
16.5,58.7,40
16.5,54.3,40
16.5,63.8,40
16.5,60.4,10
16.5,56.3,10
16.5,56.6,10
16.5,57.5,10
1.5,60.8,0
1.5,69.2,0
1.5,58.8,0
1.5,66.4,0
8.5,55.5,50
8.5,56.0,50
8.5,55.8,50
8.5,63.0,50
8.5,58.3,0
8.5,55.5,0
8.5,65.0,0
8.5,62.9,0
1.5,65.0,10
1.5,56.2,10
1.5,55.2,10
1.5,58.2,10
16.5,62.0,50
16.5,60.2,50
16.5,87.0,50
16.5,62.3,50
16.5,58.0,0
16.5,62.1,0
16.5,59.5,0
16.5,78.2,0
1.5,61.5,50
1.5,62.1,50
1.5,57.0,50
1.5,64.4,50
1.5,59.1,40
1.5,52.8,40
1.5,59.8,40
1.5,58.1,40
16.5,57.1,25
16.5,57.3,25
16.5,61.1,25
16.5,66.1,25
8.5,55.4,25
8.5,59.9,25
8.5,58.0,25
8.5,59.4,25
