reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
2,IN,12,2,Bot,91.20,50.37,48.0,18.6,21.5,20.5,45.500,44.996,19.500,19.680,10.6682,50.2612,39.0706,clay,39.0706
2,IN,12,3,Bot,78.10,50.22,49.5,18.6,23.5,20.4,47.000,46.496,21.500,21.644,7.4145,49.4873,43.0981,clay,43.0981
2,IN,12,4,Bot,84.90,50.36,50.5,18.7,23.0,20.5,48.000,47.532,21.000,21.180,5.6148,52.3283,42.0569,clay,42.0569
2,IN,12,5,Bot,97.20,50.26,49.5,18.8,25.5,20.5,47.000,46.568,23.500,23.680,7.3451,45.5402,47.1147,clay,47.1147
2,IN,19,1,Top,9.85,9.85,17.5,16.0,11.0,18.1,14.500,13.061,8.500,7.817,0.0000,20.6440,79.3560,clay,79.3560
2,IN,19,2,Top,18.90,18.90,26.0,16.0,14.0,18.1,23.000,21.561,11.500,10.817,0.0000,42.7695,57.2305,clay,57.2305
2,IN,19,3,Top,20.89,20.89,27.5,16.0,15.5,18.2,24.500,23.061,13.000,12.353,0.0000,40.8686,59.1314,clay,59.1314
2,IN,19,4,Top,20.73,20.73,27.5,15.5,15.0,17.9,24.500,22.881,12.500,11.745,0.0000,43.3448,56.6552,clay,56.6552
2,IN,19,5,Top,22.06,22.06,29.0,15.4,15.0,17.9,26.000,24.345,12.500,11.745,0.0000,46.7605,53.2395,clay,53.2395
2,IN,19,1,Bot,93.80,50.85,54.0,15.5,27.0,18.0,51.000,49.381,24.500,23.781,2.8882,50.3456,46.7662,clay,46.7662
2,IN,19,2,Bot,88.50,50.68,51.0,15.5,22.5,17.9,48.000,46.381,20.000,19.245,8.4819,53.5452,37.9728,clay,37.9728
2,IN,19,3,Bot,91.30,50.38,50.5,15.5,22.0,18.0,47.500,45.881,19.500,18.781,8.9294,53.7927,37.2779,clay,37.2779
2,IN,19,4,Bot,90.30,50.09,52.0,15.6,24.5,18.1,49.000,47.417,22.000,21.317,5.3358,52.1077,42.5565,clay,42.5565
2,IN,19,5,Bot,83.40,50.70,51.5,15.5,23.5,18.1,48.500,46.881,21.000,20.317,7.5319,52.3960,40.0721,clay,40.0721
2,IN,27,1,Top,22.96,22.96,30.0,15.4,16.5,17.8,27.000,25.345,14.000,13.209,0.0000,42.4710,57.5290,clay,57.5290
2,IN,27,2,Top,20.35,20.35,27.5,15.4,16.0,18.0,24.500,22.845,13.500,12.781,0.0000,37.1961,62.8039,clay,62.8039
